Phi, Sw, K
0.188263345734016, 0.4, 0.0128392899006871
0.18770460304939077, 0.4, 0.004624281169007416
0.15192306415211063, 0.4, 0.014786918572524765
0.2533278843968963, 0.4, 0.000902083038587882
0.16184149395023278, 0.4, 0.008468042461585949
0.19513227010268183, 0.4, 0.0017724561472912338
0.1422968345934315, 0.4, 0.002787234399994604
0.20681676645205022, 0.4, 0.01603714427689
0.17957492325135274, 0.4, 0.004012359311033066
0.13737100503031907, 0.4, 0.005635564387436815
0.19738540309983105, 0.4, 0.0006800635221569118
0.16244238578956094, 0.4, 0.022406518775584725
0.2408125233786192, 0.4, 0.006029923388211762
0.22628399015736406, 0.4, 0.002748374290524451
0.23733349504108214, 0.4, 0.027403863291248252
0.23866225022889012, 0.4, 0.010516655529713358
0.22398164647181934, 0.4, 0.0017588926919272906
0.16872775062836867, 0.4, 0.0059725186845843254
0.16933036484240735, 0.4, 9.512106408055019e-05
0.13661548829991338, 0.4, 0.012160106627457505
0.1620628166779635, 0.4, 0.003812918387387665
0.14821702173615942, 0.4, 0.002909655061178136
0.15308909350977032, 0.4, 0.013345080171428677
0.3125391869657608, 0.4, 0.007573598399298669
0.3207879708240907, 0.4, 0.004265679485113448
0.2817966052734763, 0.4, 0.0024465040445309015
0.20257008479619837, 0.4, 0.0007554304595149893
0.13996036473236428, 0.4, 0.005797114866540037
0.14126316097445363, 0.4, 0.004887665430470211
0.18301944565098568, 0.4, 0.0022416056490797403
0.16880793286358625, 0.4, 0.0005201156325105336
0.16721675392431332, 0.4, 0.0001938307947091336
0.22777295312790852, 0.4, 0.00812536843760732
0.1602883183372844, 0.4, 0.00689394274421247
0.2261971235179652, 0.4, 0.007867797566765764
0.22576612267608587, 0.4, 0.0015202425542690885
0.26599272689609393, 0.4, 0.002973452842134633
0.18267045660281606, 0.4, 0.012834166077646427
0.19439468779470875, 0.4, 0.0033026532222839226
0.1415255824527975, 0.4, 0.0037577974301182294
0.23077115463491343, 0.4, 0.008715990395091962
0.10314065342745221, 0.4, 0.003940863446983666
0.12967614828496793, 0.4, 0.002980475968831015
0.19100811020096733, 0.4, 0.0026548748761818933
0.1566724706961801, 0.4, 0.0038389434057104826
0.15150993840581634, 0.4, 0.0012097489409764537
0.2315990954561965, 0.4, 0.0009540740688022889
0.2387520639798842, 0.4, 0.002737895934851031
0.15951542590655282, 0.4, 0.0007167714935650463
0.18317524498328416, 0.4, 0.013222981996993307
0.18236191014996833, 0.4, 0.0005225013808177144
0.1331492432683353, 0.4, 0.011946496222218942
0.23760537923047229, 0.4, 0.012712357370666989
0.25651592255070926, 0.4, 0.0058551229770591635
0.15445954639214252, 0.4, 0.007537395164488238
0.17961139194535475, 0.4, 0.006847716542695994
0.23976871840266206, 0.4, 0.004962138554741423
0.2505826049084613, 0.4, 2.6890363640512096e-05
0.16179841483760907, 0.4, 0.002461378029735728
0.207489824609779, 0.4, 8.025983867662056e-05
0.15656193395474213, 0.4, 0.0031953210853342016
0.1329691706341344, 0.4, 0.0014213276876123462
0.15394174146128026, 0.4, 0.0025736374348479707
0.08136225235746924, 0.4, 0.0012556559370182384
0.2138477709000703, 0.4, 0.002112968979235346
0.22753115985571268, 0.4, 0.0017355127341305962
0.15500104514893936, 0.4, 0.0038484093480156524
0.2230629785951992, 0.4, 0.002607843462688682
0.16906911865624438, 0.4, 0.009427069657552257
0.14196796934854483, 0.4, 0.014849910674203418
0.20247959331114637, 0.4, 0.004848786826330945
0.14950230013555735, 0.4, 0.005234696006027591
0.1954298223477403, 0.4, 0.0017737328328574825
0.21032149572366896, 0.4, 0.0002600765448303655
0.18855533860037416, 0.4, 0.01611389113138049
0.23775309353968183, 0.4, 0.012178092657432249
0.23566299107833147, 0.4, 0.000398992449595285
0.15156710338055152, 0.4, 0.0015435851607216902
0.30666329552016647, 0.4, 0.0018225395342921593
0.23760963673469387, 0.4, 0.001716292473003471
0.23841737321308087, 0.4, 0.0017782176478848908
0.20100276992289448, 0.4, 0.0022672896135077832
0.2126047162223964, 0.4, 0.006950270578103112
0.1717667735433545, 0.4, 0.004754703652237141
0.2132413340495132, 0.4, 0.01158964030752923
0.19585521649350796, 0.4, 0.011019974585041828
0.2605513659834786, 0.4, 0.033512273100859066
0.21790090494592732, 0.4, 0.00793285687602441
0.21074699455576634, 0.4, 0.007291890429904991
0.1380472765892012, 0.4, 0.010223913602310354
0.2780456795890365, 0.4, 0.016675384940955898
0.26332817466812264, 0.4, 0.0005652917967391649
0.21467782055154783, 0.4, 0.013704868555366966
0.15218860589944988, 0.4, 0.00882159559729452
0.3063040730134117, 0.4, 0.0034888163506784165
0.2317134317717743, 0.4, 0.014142972577818514
0.26114319530997604, 0.4, 0.01603952352136136
0.17623697220623788, 0.4, 0.0007796332053251353
0.1762192230223363, 0.4, 0.006674726626537145
0.22237225843541558, 0.4, 0.005852799209276393
0.25116255321621533, 0.4, 0.003998119763351312
0.32271100407280584, 0.4, 0.004010322191581273
0.07899446688116513, 0.4, 0.0009353422453757642
0.16026907342596464, 0.4, 0.001425329326918189
0.1315347402064743, 0.4, 0.006783501707811607
0.17593321766942707, 0.4, 0.005612517379584639
0.13573810494638436, 0.4, 0.01628372497464641
0.20691720326579083, 0.4, 0.002509468447287452
0.22821587773226337, 0.4, 0.014726748793807455
0.17555020533393767, 0.4, 0.015449496569181818
0.25597948209501453, 0.4, 0.004484851956262468
0.08463731164784719, 0.4, 0.0046486325056351455
0.18366118918949367, 0.4, 0.013452589663758577
0.26575946829420516, 0.4, 0.0026244935976949017
0.12673876098475184, 0.4, 0.0002744508108446109
0.192282542010381, 0.4, 0.0011996092653990679
0.19271362647463405, 0.4, 0.0026958143797191922
0.21336041768990832, 0.4, 0.005711975719816605
0.21833651208550905, 0.4, 0.0007050651410035191
0.21128892768582286, 0.4, 0.002584747541226142
0.2690795621293599, 0.4, 0.0009043964983452973
0.2161108123565673, 0.4, 0.0016685613055585425
0.2124992166636522, 0.4, 0.004374989274344796
0.29187532939673216, 0.4, 0.03334420847252535
0.18518548245632493, 0.4, 0.001990579267765515
0.1822377284530466, 0.4, 0.0067580208233551835
0.10713081059321983, 0.4, 0.0009142836810599289
0.1330635661133035, 0.4, 0.00481111280858098
0.18932379947609396, 0.4, 0.005042305413155104
0.16599052739966974, 0.4, 0.001451482889987527
0.20933236250543052, 0.4, 0.004357003172274272
0.21423925839294372, 0.4, 0.000916845711604743
0.1468848708627588, 0.4, 0.002039902705525967
0.17392463988656234, 0.4, 0.010276813823401378
0.22789663156135082, 0.4, 0.020177765991042547
0.21268174857595484, 0.4, 0.004593820410979711
0.20857677303291905, 0.4, 0.0043897139021620325
0.21101840403611455, 0.4, 0.005375237780251049
0.29266045126725604, 0.4, 0.03677755411237155
0.1702826709390765, 0.4, 0.015805838977385283
0.1853266664700537, 0.4, 0.0014342249155940025
0.2373977117797947, 0.4, 0.008959315752234904
0.20357103637077217, 0.4, 0.004502355031090267
0.17280132705887538, 0.4, 0.0011360067342225104
0.1664577062702415, 0.4, 0.02260202309506029
0.1531012253486, 0.4, 0.010306769937055735
0.2884629867872458, 0.4, 0.00708194778798911
0.15383656684541522, 0.4, 0.006539078561034437
0.11064011348366687, 0.4, 0.012325751603381544
0.21236896801635194, 0.4, 0.0005028638837460591
0.2193749319828304, 0.4, 0.021976056688633117
0.27409973222297546, 0.4, 0.008130231797079272
0.19897959170716564, 0.4, 0.002480239894153211
0.156886765947192, 0.4, 0.012995662686167735
0.16132710160323205, 0.4, 0.01737431691902724
0.13901135305785084, 0.4, 0.00759585932597076
0.13707983811493307, 0.4, 0.00794999699027023
0.16440851835165202, 0.4, 0.0019330268042284506
0.24742190686763021, 0.4, 0.0003650218785449918
0.21916486736764068, 0.4, 0.011669322673500163
0.2812646283193881, 0.4, 0.006749704592485631
0.22561622420031602, 0.4, 0.006946858847206009
0.102710513096781, 0.4, 0.0003254985694429312
0.21456233736498453, 0.4, 0.017365398016616546
0.1973851180400745, 0.4, 0.00985735869939034
0.1521909695001174, 0.4, 0.0015266515209798612
0.22972595330261664, 0.4, 0.009283882685844017
0.12885952681328505, 0.4, 0.001297890542614358
0.21631003066203713, 0.4, 0.00494743090402976
0.2518993257904864, 0.4, 0.0028179280709681094
0.19490037220855166, 0.4, 0.00608764306281542
0.248978750373282, 0.4, 0.0012297082725165808
0.16717710862331897, 0.4, 0.010117602904349968
0.07001350854936592, 0.4, 0.0021365590784115413
0.24476493879999145, 0.4, 0.003777100685118234
0.20625887798243836, 0.4, 0.01116741985631252
0.2560116051222557, 0.4, 0.0017978213427212429
0.24257971047134871, 0.4, 0.004660290787631414
0.20498899377582136, 0.4, 0.0018639034235991734
0.2839045203458697, 0.4, 0.01658070444165362
0.22674532229946517, 0.4, 0.015382067290247207
0.1594627454718152, 0.4, 0.013274368333683222
0.1704164442105238, 0.4, 0.027763108509949033
0.08512212741963868, 0.4, 0.014188352062042575
0.230883487157502, 0.4, 0.003466468126333313
0.24815400847583846, 0.4, 0.009130045050527922
0.14501561745465213, 0.4, 0.005264124615967431
0.22603546873699049, 0.4, 0.01054651903129513
0.2429546458441874, 0.4, 0.0112707021016342
0.25120755015521967, 0.4, 0.0020782529705614425
0.18359229413584152, 0.4, 0.0007399721744795382
0.2341741342106333, 0.4, 0.020043151399593947
0.1428369467343896, 0.4, 0.009498614192310533
0.14239051276094034, 0.4, 0.002301112951602345
0.22814955083777694, 0.4, 0.008274357936321985
0.23405464933704448, 0.4, 0.01166940127491831
0.24461283311805945, 0.4, 0.018631594832608015
0.21499746439408904, 0.4, 0.0017738525031129038
0.18427647368245872, 0.4, 0.0018605551496203015
0.2808903005997653, 0.4, 0.0015074112726431626
0.17350905020213206, 0.4, 0.00014426830971794855
0.19481374724146666, 0.4, 0.017263691690244873
0.1704075630275459, 0.4, 0.0059283871461038385
0.2061131706596339, 0.4, 0.0030781080363471904
0.13543044209306088, 0.4, 0.018385509036252676
0.2033909162822065, 0.4, 0.0026755383378134915
0.09953293942602198, 0.4, 0.017414437556558544
0.09854266357288355, 0.4, 0.009337268571531183
0.14650695704587285, 0.4, 0.008982538868041361
0.20759233188823875, 0.4, 0.010231802481873012
0.10479844796944289, 0.4, 0.008051092043743657
0.17271659186712296, 0.4, 0.0007260681931410423
0.232702992780244, 0.4, 0.0008318005557522614
0.1717792466790694, 0.4, 0.026044899518097363
0.2563876749760212, 0.4, 0.02267375161532598
0.16473402160407977, 0.4, 0.004400266452770158
0.24778215102079731, 0.4, 0.012664832619995882
0.20158169050198352, 0.4, 0.006913619052418327
0.27145573826160785, 0.4, 0.0019393470641963697
0.17301327702533376, 0.4, 0.010315171790380245
0.09382488961787015, 0.4, 0.0012049835208357185
0.1256265846605924, 0.4, 0.0031589765070877966
0.2570843871101231, 0.4, 0.0013916435391078262
0.25477412559897283, 0.4, 0.002563567681201992
0.1869519930547045, 0.4, 0.03174751880639504
0.2694811115582557, 0.4, 0.0036015892756979546
0.1573797355216337, 0.4, 0.006047795551560556
0.1876330286980353, 0.4, 0.010139448583176565
0.11744770448895742, 0.4, 0.008807836872831702
0.23284926664586303, 0.4, 0.0016803757156245134
0.2418176289654216, 0.4, 0.0015164019421756935
0.23651506941326234, 0.4, 0.0015041756642128197
0.17836034553471483, 0.4, 0.022602043981515125
0.2923937287406709, 0.4, 0.004815509671470916
0.15779838422683012, 0.4, 0.007967567155041648
0.15882782211061938, 0.4, 0.003735399208024462
0.2736657019486225, 0.4, 0.005577417909352866
0.21642849564726946, 0.4, 0.0047461743060233305
0.26403933665435864, 0.4, 0.021348370267676046
0.21559856475894748, 0.4, 0.014276856576995038
0.24871112008336332, 0.4, 0.0023109743907126865
0.26270087417982857, 0.4, 6.492219228320848e-05
0.13447721870842877, 0.4, 0.004001701742151088
0.2279487141697406, 0.4, 0.0052639146918631256
0.2054096935068783, 0.4, 0.009818760558113006
0.1294749791170265, 0.4, 0.016381331366909526
0.18262448370552437, 0.4, 0.002880889689558768
0.1499331370510558, 0.4, 0.0005030897007694676
0.21588990944133013, 0.4, 0.008082780334318045
0.21562305409327778, 0.4, 0.022531309766172604
0.13283285718713594, 0.4, 0.007991749854802135
0.12216261318392506, 0.4, 0.002119738188928252
0.21297462962288774, 0.4, 0.0020502066449605214
0.20276884533855202, 0.4, 0.00462522990866695
0.297082016000861, 0.4, 0.004563724471833392
0.2766317899862675, 0.4, 0.021345268989321257
0.2777345597148473, 0.4, 0.008016434228217769
0.14975725436855758, 0.4, 0.006151200425485818
0.11734147031495536, 0.4, 0.001008704218519291
0.2304249254689403, 0.4, 0.015042293594931281
0.22321113181815172, 0.4, 0.03398787952838224
0.22200843248856778, 0.4, 0.001887291906074564
0.269710713487984, 0.4, 0.009210866444929676
0.18451018537437772, 0.4, 0.0035667379460103434
0.18475813938075875, 0.4, 0.01311952881345204
0.17874217286492144, 0.4, 0.0020105951069861617
0.18893867322095698, 0.4, 0.010364094057354004
0.19529980322277754, 0.4, 0.003018625597610784
0.16153162035718954, 0.4, 0.000744632010380944
0.21606707339113732, 0.4, 0.008998860544779453
0.24687795366738083, 0.4, 0.01967921112105276
0.11097389455525111, 0.4, 0.015028168217583937
0.22681090718314914, 0.4, 0.0049135733142409025
0.2322775006322171, 0.4, 0.0038326982926106088
0.17767721504166334, 0.4, 0.0004152114401569205
0.12261512975465269, 0.4, 0.0025426580492296435
0.22478585073055263, 0.4, 0.0024111643249610077
0.15992303336461802, 0.4, 0.0005031720141214737
0.14891188588787774, 0.4, 0.009255294861330246
0.1895101195134084, 0.4, 0.008139785813469377
0.1706334262695509, 0.4, 0.005136937204317747
0.15419472206548282, 0.4, 0.002824170271001145
0.2365607607194906, 0.4, 0.003400999152921374
0.16067994276495365, 0.4, 0.002954790026741792
0.24010063986690514, 0.4, 0.009630640954060361
0.1324853202184853, 0.4, 0.003821467375574204
0.1259471605486624, 0.4, 0.0025977427801619035
0.1166253090352908, 0.4, 0.013448685313603947
0.16699962267574897, 0.4, 0.0068563536289997125
0.2580306042388329, 0.4, 0.007768723010277514
0.15839726717299046, 0.4, 0.0017201594492343257
0.2470600981532552, 0.4, 0.004941438055917503
0.18509801167442957, 0.4, 0.007524586934405024
0.20917233829414117, 0.4, 0.0033074891180372664
0.25560609668999135, 0.4, 0.002501427189855082
0.2637682036622924, 0.4, 0.0048532787874002266
0.21670103853385198, 0.4, 0.005676723866417292
0.17590653952670296, 0.4, 0.001764169512860465
0.18897567523544598, 0.4, 0.0004976984797350973
0.16452186462375673, 0.4, 0.0023816228783862235
0.1958009041055577, 0.4, 0.009598792442874192
0.27390734160010755, 0.4, 9.276408447352137e-05
0.2222497476892939, 0.4, 0.00416318778581644
0.1888004197188942, 0.4, 0.014442837235205846
0.2950830699559216, 0.4, 0.005340673637002622
0.15612979257105733, 0.4, 0.004150294998583907
0.12900172752567524, 0.4, 0.014581029588030044
0.24182097945294384, 0.4, 0.0033334646488913477
0.2629147207125374, 0.4, 0.004119449677599787
0.18158972252917252, 0.4, 0.003090661703282156
0.19942760494131367, 0.4, 0.005298009424708352
0.2780905639679988, 0.4, 0.010839834512211077
0.24976717716214591, 0.4, 0.004446178656608508
0.27096422860678965, 0.4, 0.003802647030386663
0.2510411039973165, 0.4, 0.004943940389332371
0.18531662361891926, 0.4, 0.00560700037018959
0.1699352803256211, 0.4, 0.0004929086198071117
0.09861990786501518, 0.4, 0.007830036870004312
0.2373181005907475, 0.4, 0.0021481504413070336
0.23276948491777255, 0.4, 0.003688434530003217
0.17273258691683455, 0.4, 0.008774664018412948
0.1724839898462572, 0.4, 0.00669736584219407
0.25540660488594086, 0.4, 0.0046700705616692
0.2597535160304666, 0.4, 0.004767476068835695
0.18527300583273495, 0.4, 0.0005550532505984423
0.14245380904473354, 0.4, 0.009013661461502865
0.1715869083597149, 0.4, 0.005203245560114383
0.18671177543223688, 0.4, 0.017793042355038223
0.1801097297610991, 0.4, 0.002656353148927335
0.2642954538570947, 0.4, 0.02667490125082477
0.19035596436902655, 0.4, 0.004437407494050007
0.19893931455784652, 0.4, 0.005486555279013418
0.2203776701284576, 0.4, 0.005999970237690275
0.2465600542159826, 0.4, 0.0008533311803008368
0.2455024357832025, 0.4, 0.0029286114160625414
0.33633344519194, 0.4, 0.0014058138654856785
0.11658861988489798, 0.4, 0.001634151998909001
0.24589952327992676, 0.4, 0.003463676740924204
0.1341597079776577, 0.4, 0.014272315481381017
0.2447765589761125, 0.4, 0.004117615265121979
0.25356916283919184, 0.4, 0.0044764845345686335
0.24960268437495917, 0.4, 0.0005030592974937529
0.13036229737450983, 0.4, 0.004694807632020661
0.19754821624284727, 0.4, 0.005254351928156078
0.15629695486512246, 0.4, 0.00909270373549401
0.105712095076112, 0.4, 0.004847872399708369
0.2072542727388016, 0.4, 0.0015059927976194575
0.2516764680552523, 0.4, 0.0048069498949785
0.12544758316074223, 0.4, 0.007076260701888552
0.2177832906795538, 0.4, 0.0020293697642307235
0.20299832562638198, 0.4, 0.009538762008649348
0.19015061339331432, 0.4, 0.0011801560889083942
0.16798129920243815, 0.4, 0.0006410262775486574
0.12622588847578997, 0.4, 0.001797976468532329
0.29871262093067574, 0.4, 0.003560574109212384
0.24740064575807186, 0.4, 0.002095352895465761
0.2021263025207906, 0.4, 0.0010211221260010674
0.22631785756051073, 0.4, 0.00430252604094407
0.20088767220517065, 0.4, 0.015452870774006703
0.2193859006812363, 0.4, 0.0063690707445680115
0.15816881527790938, 0.4, 0.0031030992746318765
0.1275446776166213, 0.4, 0.007782677527445551
0.224115810108484, 0.4, 0.006620241607543014
0.22538091990002393, 0.4, 0.0027712801533888664
0.19206022263159975, 0.4, 6.484845804338268e-05
0.2306783268166019, 0.4, 0.0034132975738135492
0.22769080202487255, 0.4, 0.0006354334879356698
0.18413250444547766, 0.4, 0.025860713043003775
0.22131931295202711, 0.4, 0.0035914342551694803
0.1180780543574582, 0.4, 0.009047382267370825
0.2920638985386604, 0.4, 0.022643755106243
0.3013470681831413, 0.4, 0.022559097802861115
0.18169362110556345, 0.4, 0.0047328810827595895
0.1595931626611301, 0.4, 0.005473469547503676
0.20029995483913804, 0.4, 0.011233738160761774
0.20566323908951675, 0.4, 0.011840684957082405
0.24335323996518338, 0.4, 0.002158101016285094
0.21229078694046344, 0.4, 0.0017022574247772633
0.16768260989037484, 0.4, 0.011141385459345135
0.21189799946696355, 0.4, 0.03456117367109118
0.22088578143414986, 0.4, 0.0021730149347572066
0.20546885088860023, 0.4, 0.001915988584366047
0.18124863214423365, 0.4, 0.003193642714577122
0.12063983565247262, 0.4, 0.011424070084078404
0.1710008341530212, 0.4, 0.0016531402619872568
0.2691458000427772, 0.4, 0.007815620540903668
0.18792789559552578, 0.4, 0.0004848315361430554
0.10548270320748375, 0.4, 0.0010632335889571981
0.20447555851035107, 0.4, 0.000793213364754342
0.15787743312314992, 0.4, 0.002715602221425195
0.17666411654176134, 0.4, 0.00246107090391528
0.2457165783596593, 0.4, 0.005956997411212638
0.21029206337345047, 0.4, 0.0013411689419225332
0.0980043257069962, 0.4, 0.009555816290446177
0.23582060175061886, 0.4, 0.0077751301669838095
0.11153864028449044, 0.4, 0.015484735869926306
0.1511040028881392, 0.4, 0.0009665167108191525
0.24130670965880607, 0.4, 0.0015218865523210661
0.18494071869800238, 0.4, 0.0072853731334455935
0.18028357595171862, 0.4, 0.001265042539938103
0.08903858085470356, 0.4, 0.005380157071323803
0.16130792954368883, 0.4, 0.0008244432832275998
0.17692910022005004, 0.4, 0.014117692929955312
0.17958632206176262, 0.4, 0.0025118474065233347
0.13592156468191324, 0.4, 0.01637831636414798
0.22497624159685475, 0.4, 0.004691038667325987
0.10717440840383928, 0.4, 0.0023810030010305238
0.2357224915091778, 0.4, 0.00015740236036618116
0.22592492622106264, 0.4, 0.012039989101810557
0.1625590099115878, 0.4, 0.007187528288566023
0.21189382461866355, 0.4, 0.002339968782020997
0.21694454213406245, 0.4, 0.0007287965052890947
0.16864513626202354, 0.4, 8.770079717915304e-05
0.12864512431878156, 0.4, 0.00419017575446576
0.1406923842053286, 0.4, 0.0013477313392996815
0.2536949609772127, 0.4, 0.011931492635401903
0.19133890011199364, 0.4, 0.00047829020158414123
0.2661391337658288, 0.4, 0.001533801140755385
0.15768599038063058, 0.4, 0.005411178424924455
0.1941805971360023, 0.4, 0.003608591020501255
0.18243561909413591, 0.4, 0.011977270211702267
0.18197888291905884, 0.4, 0.019317824302735688
0.14306871094849702, 0.4, 0.004114756933726618
0.21115787755649862, 0.4, 0.012857396787540885
0.15718812852887895, 0.4, 0.0018564398680589683
0.19916087891188822, 0.4, 0.002508022217374404
0.26368206851431114, 0.4, 0.003739201001389269
0.2433193353841247, 0.4, 0.003874906924276981
0.2485289060367434, 0.4, 0.003783061853815047
0.18416082393156682, 0.4, 0.0009640643501033485
0.27798071079491066, 0.4, 0.0016046580409948494
0.17541018809278014, 0.4, 0.009060777973605973
0.18660581592553305, 0.4, 0.0023590394271943383
0.14981681931398796, 0.4, 0.005654039866922851
0.16290607267852475, 0.4, 0.005336446241894195
0.23646134645391947, 0.4, 0.009617980035575463
0.22204224099922662, 0.4, 0.0016976383637765055
0.21019079659383783, 0.4, 0.008242062976290689
0.24791429666052653, 0.4, 0.003153439435192008
0.25527410414584784, 0.4, 0.002142248278930468
0.21191987929789002, 0.4, 0.005072350920924403
0.1908898378281513, 0.4, 0.028951784546479075
0.24888990772390707, 0.4, 0.0033681210927178932
0.22728925583439888, 0.4, 0.017142541567523775
0.23094940276637416, 0.4, 0.002261249136606761
0.21721012071666548, 0.4, 0.0036198088756992965
0.187554168520001, 0.4, 0.005923270736861661
0.10403739296884723, 0.4, 0.0029104480583828315
0.1427216788879926, 0.4, 0.011549972076504841
0.27930405201014186, 0.4, 0.0017360355160881194
0.3057377878611714, 0.4, 0.00952185648677138
0.1945332027010525, 0.4, 0.002442744234695237
0.25292865714061985, 0.4, 0.0030837613419217834
0.23498709062135686, 0.4, 0.004649503928298621
0.23921307436675315, 0.4, 0.004815041914199699
0.2717779535096002, 0.4, 0.006399565477263154
0.14541964342037159, 0.4, 0.004182753584128549
0.14223105987299087, 0.4, 0.016156550760595245
0.18101910327661688, 0.4, 0.0005643133086757603
0.15348446179524788, 0.4, 0.0043790844025898305
0.24605981357030596, 0.4, 0.009035745561460112
0.24746004775708552, 0.4, 0.009157676281299406
0.22706644365376888, 0.4, 0.013825409364880262
0.2167863712377698, 0.4, 0.0005520778300154186
0.16589564588698713, 0.4, 0.008914176588845227
0.13189627191639333, 0.4, 0.0005356274467593826
0.13504795728588664, 0.4, 0.0024031541656785596
0.23722823518703268, 0.4, 0.027176615969706136
0.25864903274432705, 0.4, 0.000663727827208602
0.17764189479783588, 0.4, 0.004701686467120337
0.29625758276527303, 0.4, 0.0007162958274374184
0.17027671724176108, 0.4, 0.002684912857395445
0.2595320765678544, 0.4, 0.0010086672556110362
0.14060543258749494, 0.4, 0.011217503082145155
0.24836867072284158, 0.4, 0.0015747242242142732
0.14050799578729942, 0.4, 0.0031076478129212024
0.21738898111608354, 0.4, 0.009072126095713479
0.27811879239366827, 0.4, 0.002501193867655822
0.16864907113612787, 0.4, 0.0035871630022111653
0.16291090187736454, 0.4, 0.0010150932515632768
0.15923621602442922, 0.4, 0.05535193848120842
0.1649588572878127, 0.4, 0.0006503283888344694
