sw, Mean_Perm, Std_dev_Perm
0.2, 14.94287827284765, 18.535635743064848
0.22222222222222224, 12.17832376192017, 15.39336874513517
0.24444444444444446, 9.946399056693272, 12.50368936191286
0.26666666666666666, 8.12898619749792, 10.115705483865943
0.2888888888888889, 7.2179177659893, 8.952520988536358
0.3111111111111111, 6.176142470497174, 7.781884140153937
0.33333333333333337, 5.49655811346997, 6.826987779623254
0.35555555555555557, 4.621542737645742, 5.671753162970478
0.37777777777777777, 4.253043594710604, 5.371977800069975
0.4, 3.724891107225571, 4.5983019131138745
