phi, Mean_Perm, Std_dev_Perm
0.25, 71.08119368815446, 31.60387081723521
0.2611111111111111, 86.93906893470212, 42.25686259108667
0.2722222222222222, 104.39149370587782, 56.185269308633075
0.2833333333333333, 123.48966486237005, 56.53393149615828
0.29444444444444445, 147.8444377658748, 70.19414938638556
0.3055555555555555, 173.02907794495817, 80.15852289160429
0.31666666666666665, 202.84964201471632, 92.28989186321881
0.3277777777777777, 237.09511082046996, 110.86026532570183
0.33888888888888885, 272.5148609182189, 127.16256824318533
0.35, 315.31821263071254, 165.05115554074345
