x, y
797.1014492753628, 3003.499736686831
3985.507246376812, 3084.6685598132135
6695.652173913044, 3003.499736686831
10202.898550724636, 2841.1620904340793
14666.666666666666, 2597.6556210549497
19130.4347826087, 2516.4867979285714
21840.579710144928, 2597.6556210549497
25028.985507246376, 2678.824444181323
27579.710144927536, 2678.824444181323
30608.695652173916, 2678.824444181323
33797.10144927537, 2841.1620904340793
36666.666666666664, 2759.9932673077014
40173.913043478264, 2759.9932673077014
44318.84057971014, 2759.9932673077014
48304.347826086945, 2759.9932673077014
50695.65217391304, 2922.3309135604577
55797.10144927537, 2841.1620904340793
59623.18840579711, 2759.9932673077014
64086.956521739135, 2759.9932673077014
67594.20289855073, 2516.4867979285714
72376.8115942029, 2597.6556210549497
75884.0579710145, 2516.4867979285714
79869.5652173913, 2516.4867979285714
84811.59420289856, 2759.9932673077014
87681.15942028984, 2841.1620904340793
90710.14492753622, 2841.1620904340793
94217.39130434784, 2841.1620904340793
97405.79710144928, 2841.1620904340793
101869.56521739131, 2678.824444181323
105855.07246376813, 2597.6556210549497
109362.31884057973, 2516.4867979285714
112869.56521739131, 2354.14915167582
116057.97101449277, 2516.4867979285714
119405.79710144927, 2678.824444181323
121637.68115942029, 3409.343852318717
123231.88405797101, 4058.6944373297324
125144.9275362319, 4545.707376087992
127217.39130434784, 4545.707376087992
