x, y
2710.144927536232, 324.6752925055078
4623.188405797101, 584.416517340273
7173.913043478261, 649.3505850110156
10489.857991536457, 844.1552650991408
13295.651200888815, 909.0918098457809
15973.914989526722, 844.1552650991408
18269.566190415535, 844.1552650991408
20947.825113932293, 1038.9599451872662
24136.230911033745, 1038.9599451872662
27579.710144927536, 1168.8305576046487
29620.292774145153, 1298.7011700220312
31405.797101449276, 1233.7671023512933
33956.52173913043, 1103.896489933906
37400.00583814538, 974.0258775165235
40715.94592108243, 974.0258775165235
43904.35171818388, 909.0918098457809
47347.82608695652, 779.2211974284029
51173.91304347826, 714.2846526817583
54744.93142832881, 649.3505850110156
58698.55267068614, 454.54590492289043
62397.105341372284, 324.6752925055078
65075.364264889045, 194.80468008812522
66733.33917147871, 129.8706124173826
71962.32273267664, 129.8706124173826
83440.58360224185, 194.80468008812522
94408.69759822237, 194.80468008812522
107289.85507246378, 129.8706124173826
114814.49469967166, 129.8706124173826
125527.54012398099, 194.80468008812522
