x, y
797.1014492753628, 4221.032083582489
3507.2463768115945, 4221.032083582489
7333.333333333335, 4058.6944373297324
11956.521739130436, 3652.850321697851
15782.608695652176, 3247.0062060659607
19608.695652173912, 3003.499736686831
23434.782608695656, 2922.3309135604577
27420.28985507246, 3084.6685598132135
30608.695652173916, 3084.6685598132135
34753.6231884058, 3084.6685598132135
38420.289855072464, 2841.1620904340793
41927.53623188406, 3003.499736686831
45913.04347826087, 2922.3309135604577
48144.927536231895, 2841.1620904340793
50855.07246376811, 3003.499736686831
53724.637681159424, 2922.3309135604577
57391.30434782609, 2922.3309135604577
60739.13043478261, 2922.3309135604577
63768.11594202899, 2922.3309135604577
66956.52173913045, 2759.9932673077014
70942.02898550723, 2678.824444181323
75086.95652173914, 2435.3179748021935
79072.46376811594, 2435.3179748021935
82101.44927536232, 3003.499736686831
84652.17391304349, 3003.499736686831
88159.42028985506, 3084.6685598132135
91507.2463768116, 3084.6685598132135
93898.55072463768, 3084.6685598132135
96449.27536231885, 3328.1750291923436
98681.15942028984, 3165.8373829395873
101391.3043478261, 3003.499736686831
103782.60869565218, 2841.1620904340793
106652.17391304349, 2841.1620904340793
110318.84057971014, 2678.824444181323
114144.92753623189, 2841.1620904340793
117492.75362318842, 3328.1750291923436
119724.63768115944, 3490.512675445095
121637.68115942029, 4058.6944373297324
123391.3043478261, 4708.045022340748
125782.60869565218, 5113.889137972634
127376.81159420291, 5113.889137972634
