x, y
1594.2028985507256, 1948.3050360439295
4623.188405797101, 1948.3050360439295
8768.115942028986, 1948.3050360439295
14507.246376811594, 1948.3050360439295
19768.115942028984, 1948.3050360439295
25028.985507246376, 2191.811505423064
30768.115942028984, 2191.811505423064
35710.14492753623, 2354.14915167582
41768.11594202898, 2354.14915167582
47028.985507246376, 2272.9803285494418
52608.69565217392, 2272.9803285494418
59144.927536231895, 2272.9803285494418
66637.68115942027, 2029.4738591703122
73014.49275362318, 2110.6426822966855
80666.66666666667, 1867.136212917556
87202.89855072465, 1948.3050360439295
93101.44927536232, 1948.3050360439295
102188.40579710146, 1704.7985666647996
109043.47826086955, 1623.6297435384263
114942.02898550726, 1461.29209728567
119405.79710144927, 1623.6297435384263
123391.3043478261, 2678.824444181323
124985.50724637682, 3328.1750291923436
126898.5507246377, 3003.499736686831
