x, y
1115.9420289855084, 5682.070899857272
3666.6666666666674, 5600.902076730894
7173.913043478261, 5519.73325360452
11159.420289855076, 5438.564430478142
13869.565217391302, 5113.889137972634
16420.289855072464, 4789.213845467127
19768.115942028984, 4626.8761992143745
21840.579710144928, 4545.707376087992
24710.14492753623, 4464.538552961619
27420.28985507246, 4383.369729835241
30130.4347826087, 4221.032083582489
33478.26086956522, 4221.032083582489
36826.086956521736, 4139.863260456111
39855.07246376812, 4139.863260456111
43043.47826086957, 3896.356791076981
46231.884057971016, 4058.6944373297324
51173.91304347826, 3896.356791076981
54043.47826086957, 3815.187967950603
56434.782608695656, 3977.5256142033545
58188.40579710145, 3896.356791076981
60579.710144927536, 3977.5256142033545
62492.7536231884, 4058.6944373297324
64884.05797101449, 4221.032083582489
67115.94202898552, 3734.019144824225
69826.08695652173, 3490.512675445095
72217.39130434782, 3571.681498571473
74608.6956521739, 3328.1750291923436
76840.57971014494, 3490.512675445095
80028.98550724638, 3734.019144824225
82101.44927536232, 3977.5256142033545
85449.27536231885, 3896.356791076981
88318.84057971016, 3896.356791076981
92623.1884057971, 3977.5256142033545
96289.85507246378, 4058.6944373297324
99637.68115942029, 4058.6944373297324
102985.50724637682, 3977.5256142033545
106811.59420289856, 3734.019144824225
110637.68115942029, 3652.850321697851
113826.08695652174, 3815.187967950603
117014.49275362318, 4221.032083582489
119405.79710144927, 4708.045022340748
121478.26086956522, 5519.73325360452
123231.88405797101, 6006.74619236278
125782.60869565218, 6412.590307994666
128014.49275362318, 6169.083838615536
