x, y
2710.144927536232, 324.9285735163949
4782.608695652175, 649.6038660219027
7173.913043478261, 649.6038660219027
11159.420289855076, 811.9415122746543
16260.86956521739, 974.2791585274059
22318.840579710144, 1055.4479816537887
29014.49275362319, 1055.4479816537887
33159.420289855065, 1217.7856279065402
38101.44927536231, 893.1103354010324
42724.637681159424, 1136.616804780162
47985.50724637681, 811.9415122746543
52927.53623188406, 649.6038660219027
57072.463768115944, 568.4350428955246
62811.59420289856, 324.9285735163949
66318.84057971016, 243.7597503900168
69188.40579710144, 487.2662197691465
73014.49275362318, 324.9285735163949
78275.36231884059, 324.9285735163949
84173.91304347827, 243.7597503900168
88637.6811594203, 406.0973966427684
93898.55072463768, 406.0973966427684
97086.95652173914, 406.0973966427684
100913.0434782609, 324.9285735163949
104260.86956521739, 487.2662197691465
108246.37681159422, 324.9285735163949
112391.3043478261, 324.9285735163949
116855.07246376813, 406.0973966427684
120362.31884057973, 324.9285735163949
124028.98550724638, 406.0973966427684
126579.71014492754, 406.0973966427684
