sw, Mean_Perm, Std_dev_Perm
0.2, 79.05108858106269, 90.03445668731123
0.2277777777777778, 63.37003363995591, 72.88278435443502
0.25555555555555554, 48.15218338373106, 54.00139625316167
0.2833333333333333, 40.407777797964165, 46.90722662859287
0.3111111111111111, 32.84066517788373, 37.139462091984754
0.3388888888888889, 27.947406110599644, 31.831412177590217
0.3666666666666667, 24.213651326494464, 27.25181246683006
0.39444444444444443, 20.42708824976436, 22.906881573588493
0.4222222222222222, 18.117644096735017, 20.278566176388498
0.45, 15.906490079792729, 17.930672160198444
