sw, Mean_Perm, Std_dev_Perm
0.2, 129.88440065058367, 130.78035995372758
0.22222222222222224, 102.64727128881253, 103.93470453271198
0.24444444444444446, 84.51192412106185, 84.77446017459391
0.26666666666666666, 72.33546330714915, 70.23300258862258
0.2888888888888889, 61.26122928939922, 61.72909592285108
0.3111111111111111, 52.15906698171755, 51.75681134799764
0.33333333333333337, 46.162112572767526, 46.27279165621124
0.35555555555555557, 40.33117626138154, 40.144239304978804
0.37777777777777777, 35.49402129835534, 35.44222919244626
0.4, 31.8429620382958, 32.61627390943514
