# t_values Z_values
0.16295431426880339 11407.185261997316
1.738160013065614 12844.311328517126
2.552923296208929 11811.377557114169
3.5849534729101884 11541.915455973813
5.051534013128725 8263.472741004703
6.13788505731982 9925.149701881128
7.821724202895583 9431.138419571522
8.636487486038899 9610.778107144393
9.885792844498804 9386.227212787779
11.026464756179733 10464.072190974479
13.090529253682599 7904.191652671591
14.013925983604883 9116.766824834787
15.045960304406488 8443.114141764941
31.01532148283562 7859.282159075215
32.15598925041619 9700.598807524513
34.0571035777506 8532.93484214506
34.92618358428341 6152.694848008729
36.0125346284745 3458.084115729347
36.99025222588663 4446.107536942244
39 3188.6228711826725
