# t_values Z_values
0.0 13607.784711967091
1.6838391455757635 15449.101360416389
2.2270146676713147 14865.272804101394
3.4763200261312126 14461.077082609809
5.051534013128725 10508.981684570856
6.029243322340141 12440.119033400273
10.048747158767608 11541.915455973813
11.026464756179733 12170.65864544728
12.927574939413788 9790.419507904633
13.959609260215394 11137.724874044323
14.88301013423804 10239.521296617862
31.03030303030303 8674.16379310345
32 10108.086206896553
34 8821.23275862069
36.121212121212125 3820.8879310344837
37.151515151515156 4740.068965517243
38.18181818181819 3857.6551724137935
39.0 3526.75
