# t_values Z_values
0.0 26452.095183890535
0.6518089688745194 26946.10646620014
0.9233967299222834 26676.64607824715
1.357938805238874 26541.917597458018
1.4665722520178346 26481.201731711888
1.54 26400.0
1.5757575757575761 26359.206896551725
2.3356564026509923 24296.408653891867
2.6615567429878975 23398.205076465405
2.987465371525512 21871.258309565477
3.5306408936210554 19985.030454332435
4.96969696969697 15365.801724137931
6 16652.655172413793
10 13123
11.09090909090909 13711.275862068966
12.969696969696969 10806.66379310345
14.06060606060606 12167.051724137931
15.030303030303031 11100.801724137931
31.03030303030303 8674.16379310345
32 10108.086206896553
34 8821.23275862069
36.121212121212125 3820.8879310344837
37.151515151515156 4740.068965517243
38.18181818181819 3857.6551724137935
39.0 3526.75
