phi, Mean_Perm, Std_dev_Perm
0.05, 0.049852498620876484, 0.020308639583396324
0.05555555555555556, 0.07894172339854305, 0.03138303985389386
0.061111111111111116, 0.12068158463209759, 0.04740777802561316
0.06666666666666667, 0.17698073347542187, 0.07365760642574903
0.07222222222222223, 0.25110852855941457, 0.10159891930170249
0.07777777777777778, 0.351864286403922, 0.1438533072995446
0.08333333333333334, 0.4711229131074517, 0.19164213162134702
0.08888888888888889, 0.6268093618092314, 0.25299650768177584
0.09444444444444444, 0.8166559134954874, 0.33990401039161283
0.1, 1.0477425724370537, 0.4271044085268647
