Mean_Perm, Std_dev_Perm
2256126.5902562537, 74097500.2401679
2038487.3273781696, 63108429.93801548
1465829.503425967, 44122487.518726304
1631963.618098697, 50292990.43102477
1749254.379451016, 58928945.95373997
890409.8188469951, 38957529.06776433
619799.9429779205, 22661155.851661198
503974.00622199936, 23098811.11445481
1288481.961857615, 42524640.17072463
2095117.0811389568, 69842606.30658478
