Tn Tn+1 tn tn+1
40.0 50.0 25.607099151988518 31.293474709591308
50.0 60.0 31.293474709591308 34.463408428481955
60.0 70.0 34.463408428481955 34.47010763876398
70.0 80.0 34.47010763876398 35.199497610605306
80.0 90.0 35.199497610605306 35.85889220394134
90.0 100.0 35.85889220394134 36.7430497195304
100.0 110.0 36.7430497195304 37.11595233660389
110.0 120.0 37.11595233660389 36.731553431040034
120.0 130.0 36.731553431040034 39.00481220598287
130.0 140.0 39.00481220598287 40.121212121212125
140.0 150.0 40.121212121212125 40.121212121212125
150.0 160.0 40.121212121212125 40.121212121212125
160.0 170.0 40.121212121212125 40.121212121212125
170.0 180.0 40.121212121212125 40.121212121212125
180.0 190.0 40.121212121212125 40.121212121212125
