Tn Tn+1 tn tn+1
40.0 50.0 30.03037634656424 34.122973324588486
50.0 60.0 34.122973324588486 34.87451125521612
60.0 70.0 34.87451125521612 35.473770258802375
70.0 80.0 35.473770258802375 36.253293617771305
80.0 90.0 36.253293617771305 36.95801058417769
90.0 100.0 36.95801058417769 37.902939172474134
100.0 110.0 37.902939172474134 38.30147262076875
110.0 120.0 38.30147262076875 37.890652706021825
120.0 130.0 37.890652706021825 40.121212121212125
130.0 140.0 40.121212121212125 40.121212121212125
140.0 150.0 40.121212121212125 40.121212121212125
150.0 160.0 40.121212121212125 40.121212121212125
160.0 170.0 40.121212121212125 40.121212121212125
170.0 180.0 40.121212121212125 40.121212121212125
180.0 190.0 40.121212121212125 40.121212121212125
