Tn Tn+1 tn tn+1
40.0 50.0 6.6048849840565325 7.484079725857249
50.0 60.0 7.484079725857249 25.47926136363637
60.0 70.0 25.47926136363637 29.202647801544877
70.0 80.0 29.202647801544877 32.75314942410532
80.0 90.0 32.75314942410532 34.27525636877726
90.0 100.0 34.27525636877726 34.87029557994946
100.0 110.0 34.87029557994946 35.26430023905891
110.0 120.0 35.26430023905891 34.85814873243411
120.0 130.0 34.85814873243411 36.53943528214171
130.0 140.0 36.53943528214171 37.88080767179196
140.0 150.0 37.88080767179196 39.98191405058527
150.0 160.0 39.98191405058527 40.121212121212125
160.0 170.0 40.121212121212125 40.121212121212125
170.0 190.0 40.121212121212125 40.121212121212125
190.0 190.0 40.121212121212125 40.121212121212125
