t_values T_values Z_values
36.221408759412725 40.0 3910.277990894673
34.87693550482711 50.0 6754.027941224481
31.032496914849855 60.0 8677.407961460449
22.07139265962793 70.0 10032.915775992098
13.763197586727 80.0 11796.176733889846
10.495551620871316 90.0 13390.227635553769
7.274939704607222 100.0 15527.630791693144
5.821015585721468 110.0 16429.102776732474
4.928316265777566 120.0 15499.839133679789
3.740731920298484 130.0 19346.577207312144
2.793247476505395 140.0 22415.600892230235
2.2015315001740348 150.0 24332.24486248412
1.4808369107011647 160.0 26414.576628826944
0.5077928607340363 170.0 26982.178936571567
0.1357466063348411 180.0 27199.20334835628
0.1357466063348411 180.0 27199.20334835628
0.1357466063348411 190.0 27199.20334835628
0.1357466063348411 190.0 27199.20334835628
