Z_values t_values_3
3910.277990894673 14.392900848011482
6754.027941224481 8.706525290408694
8677.407961460449 5.536591571518044
10032.915775992098 5.529892361236019
11796.176733889846 4.800502389394693
13390.227635553769 4.1411077960586615
15527.630791693144 3.2569502804696024
16429.102776732474 2.884047663396112
15499.839133679789 3.2684465689599644
19346.577207312144 0.9951877940171264
22415.600892230235 -0.1212121212121211
24332.24486248412 -0.1212121212121211
26414.576628826944 -0.1212121212121211
26982.178936571567 -0.1212121212121211
27199.20334835628 -0.1212121212121211
27199.20334835628 -0.1212121212121211
