Tn Tn+1 tn tn+1
40.0 50.0 3.778591240587275 5.1230644951728905
50.0 60.0 5.1230644951728905 8.967503085150145
60.0 70.0 8.967503085150145 17.92860734037207
70.0 80.0 17.92860734037207 26.236802413273
80.0 90.0 26.236802413273 29.504448379128682
90.0 100.0 29.504448379128682 32.72506029539278
100.0 110.0 32.72506029539278 34.17898441427853
110.0 120.0 34.17898441427853 35.07168373422243
120.0 130.0 35.07168373422243 36.25926807970151
130.0 140.0 36.25926807970151 37.20675252349461
140.0 150.0 37.20675252349461 37.798468499825965
150.0 160.0 37.798468499825965 38.519163089298836
160.0 170.0 38.519163089298836 39.492207139265965
170.0 180.0 39.492207139265965 39.86425339366516
180.0 190.0 39.86425339366516 39.86425339366516
