Tn Tn+1 tn tn+1
40.0 50.0 34.32990284811414 35.08296502586842
50.0 60.0 35.08296502586842 35.93155974792756
60.0 70.0 35.93155974792756 36.5296094131104
70.0 80.0 36.5296094131104 37.307559650059105
80.0 90.0 37.307559650059105 38.01085445795654
90.0 100.0 38.01085445795654 40.06060606060606
100.0 110.0 40.06060606060606 40.06060606060606
110.0 120.0 40.06060606060606 40.06060606060606
120.0 130.0 40.06060606060606 40.06060606060606
130.0 140.0 40.06060606060606 40.06060606060606
140.0 150.0 40.06060606060606 40.06060606060606
150.0 160.0 40.06060606060606 40.06060606060606
160.0 170.0 40.06060606060606 40.06060606060606
170.0 190.0 40.06060606060606 40.06060606060606
190.0 190.0 40.06060606060606 40.06060606060606
