Tn Tn+1 tn tn+1
40.0 50.0 40.0 40.0
50.0 60.0 40.0 40.0
60.0 70.0 40.0 40.0
70.0 80.0 40.0 40.0
80.0 90.0 40.0 40.0
90.0 100.0 40.0 40.0
100.0 110.0 40.0 40.0
110.0 120.0 40.0 40.0
120.0 130.0 40.0 40.0
130.0 140.0 40.0 40.0
140.0 150.0 40.0 40.0
150.0 160.0 40.0 40.0
160.0 170.0 40.0 40.0
170.0 190.0 40.0 40.0
190.0 190.0 40.0 40.0
