Z_values t_values_1
3910.277990894673 5.670097151885863
6754.027941224481 4.917034974131584
8677.407961460449 4.06844025207244
10032.915775992098 3.470390586889601
11796.176733889846 2.692440349940895
13390.227635553769 1.9891455420434576
15527.630791693144 -0.0606060606060605
16429.102776732474 -0.0606060606060605
15499.839133679789 -0.0606060606060605
19346.577207312144 -0.0606060606060605
22415.600892230235 -0.0606060606060605
24332.24486248412 -0.0606060606060605
26414.576628826944 -0.0606060606060605
26982.178936571567 -0.0606060606060605
27199.20334835628 -0.0606060606060605
27199.20334835628 -0.0606060606060605
