# t_values Z_values
0.0 24411.117591594826
1.6969696969696972 23381.634832974138
4.96969696969697 12388.229660560344
5.9393939393939394 13675.083108836207
10 10218.962419181034
10.90909090909091 10844.005522629312
12.969696969696969 7829.091729525862
13.93939393939394 9299.781384698275
14.969696969696969 8196.764143318966
31.03030303030303 5623.057246767242
32.06060606060606 7056.979660560345
33.93939393939394 5806.8934536637935
35.93939393939394 549.1779364224149
36.96969696969697 1321.2900053879312
38.06060606060606 0.0
39.0 0.0
