phi, Mean_Perm, Std_dev_Perm
0.25, 48.26520533666009, 13.136787788746945
0.2611111111111111, 58.26415673868575, 15.859115039741988
0.2722222222222222, 69.85968721473107, 18.53133485836021
0.2833333333333333, 83.89991138877595, 22.99644207870979
0.29444444444444445, 99.25294586159795, 26.820575269311036
0.3055555555555555, 116.80399346659067, 31.371463887918196
0.31666666666666665, 136.51297455907397, 37.02363226842525
0.3277777777777777, 158.50492390809205, 43.30736046076852
0.33888888888888885, 183.42784110817948, 48.328938848881904
0.35, 211.23387107165064, 57.51621337350832
