sw, Mean_Perm, Std_dev_Perm
0.2, 28.631633619786975, 30.37102719214589
0.22222222222222224, 23.330652630645226, 24.76125431479017
0.24444444444444446, 19.12258426531392, 20.51772267319652
0.26666666666666666, 16.005473265032094, 16.47452719107106
0.2888888888888889, 13.783998220036628, 14.624951450865785
0.3111111111111111, 11.736030580444371, 12.569372898647961
0.33333333333333337, 10.281052395662119, 11.020258506080042
0.35555555555555557, 9.007972902070943, 9.503689621860797
0.37777777777777777, 7.901753562860293, 8.376703774762417
0.4, 7.12808686837177, 7.368179935683913
