# t_values Z_values
36.221408759412725 3910.277990894673
34.87693550482711 6754.027941224481
31.032496914849858 8677.407961460449
22.071392659627932 10032.915775992098
13.763197586727001 11796.176733889846
10.495551620871316 13390.227635553769
7.274939704607222 15527.630791693144
5.821015585721468 16429.102776732474
4.928316265777566 15499.839133679789
3.740731920298484 19346.577207312144
2.793247476505395 22415.600892230235
2.2015315001740348 24332.244862484116
1.4808369107011647 26414.576628826944
0.5077928607340363 26982.178936571567
0.13574660633484115 27199.203348356277
0.13574660633484115 27199.203348356277
