# Z_values t_values
3910.277990894673 9.96962365343576
6754.027941224481 5.8770266754115115
8677.407961460449 5.125488744783876
10032.915775992098 4.526229741197623
11796.176733889846 3.746706382228693
13390.227635553769 3.0419894158223104
15527.630791693144 2.097060827525864
16429.102776732474 1.698527379231253
15499.839133679789 2.1093472939781783
19346.577207312144 -0.1212121212121211
22415.600892230235 -0.1212121212121211
24332.244862484116 -0.1212121212121211
26414.576628826944 -0.1212121212121211
26982.178936571567 -0.1212121212121211
27199.203348356277 -0.1212121212121211
27199.203348356277 -0.1212121212121211
