# t_values T_values
37.873303167420815 26.11764705882353
36.87782805429864 35.11764705882353
35.83710407239819 25.05882352941176
33.710407239819006 58.6764705882353
31.855203619909503 67.94117647058823
30.95022624434389 59.205882352941174
14.97737556561086 74.55882352941177
13.981900452488688 79.58823529411765
12.986425339366516 71.91176470588235
10.950226244343892 88.58823529411765
10.04524886877828 87
6.018099547511312 110.82352941176471
5.067873303167421 106.85294117647058
3.0316742081447963 135.97058823529412
1.8099547511312224 156.61764705882354
0.13574660633484115 173.8235294117647
