#Tn TN+1 tn tn+1 Lithology
40 50 0 2 0
50 60 2 2.6 0
60 70 2.6 3.6 0
70 80 3.6 4.6 0
40 50 0 2 1
50 60 2 2.6 1
60 70 2.6 3.6 1
70 80 3.6 4.6 1
40 50 0 2 2
50 60 2 2.6 2
60 70 2.6 3.6 2
70 80 3.6 4.6 2
40 50 0 2 3
50 60 2 2.6 3
60 70 2.6 3.6 3
70 80 3.6 4.6 3
40 50 0 2 4
50 60 2 2.6 4
60 70 2.6 3.6 4
70 80 3.6 4.6 4
40 50 0 2 5
50 60 2 2.6 5
60 70 2.6 3.6 5
70 80 3.6 4.6 5
40 50 0 2 6
50 60 2 2.6 6
60 70 2.6 3.6 6
70 80 3.6 4.6 6
