phi, Mean_Perm, Std_dev_Perm
0.06, 3484.044600760701, 116568.07894190284
0.08666666666666667, 27532.47747972287, 709961.5858235378
0.11333333333333333, 47877.974546067664, 1688545.9771322496
0.13999999999999999, 166515.3461075177, 5016334.199570003
0.16666666666666666, 423829.1645370118, 11743280.457438137
0.19333333333333333, 814309.4439640376, 22563402.686673854
0.21999999999999997, 1328038.8077366906, 38278583.50202801
0.24666666666666665, 1830016.103488955, 57814201.02643998
0.2733333333333333, 3450097.3621637747, 99481655.8958005
0.3, 6685633.027236126, 168592703.84623188
