#Value Mean_Perm Std_dev_Perm
0.5, 0.0013502430283768212, 0.002996383264483903
0.56, 0.0010782880486877471, 0.00236346399543578
0.62, 0.000854858074054751, 0.001814420537136308
0.68, 0.0006998707028820735, 0.0014845754927075357
0.74, 0.0005988699504338453, 0.0012472125765099465
0.8, 0.0005354440508008342, 0.0011677984535898806
0.5, 0.0012791067286987321, 0.0026086957235384642
0.56, 0.0010131523423441678, 0.0021998445721658788
0.62, 0.0008504448558639098, 0.0018039009812935713
0.68, 0.000733863640958087, 0.0015794546516074792
0.74, 0.0005989610664302096, 0.0012841640129449563
0.8, 0.0005268376008006067, 0.0010946700488309426
0.5, 0.0013595161700038223, 0.002967633642169477
0.56, 0.0010808464274242107, 0.0021322390472847037
0.62, 0.0008751182883948489, 0.0018118859110420698
0.68, 0.0006968468158240298, 0.0014650754197604726
0.74, 0.000602110900234729, 0.0013213959740431946
0.8, 0.0005159208559882614, 0.001074619917839858
0.5, 0.0013110004346976068, 0.0028539024460612454
0.56, 0.0010244102340693359, 0.0021272975234141274
0.62, 0.0008741416976101694, 0.0018909163432476001
0.68, 0.0006771082304616241, 0.0014290397430779956
0.74, 0.0005907857290679712, 0.0012130139104491026
0.8, 0.0005144575531233407, 0.0011147523890183888
0.5, 0.0012999601453993286, 0.0028355314860994377
0.56, 0.0010452124796617992, 0.00230011354245482
0.62, 0.0008654166438099933, 0.001840624396476704
0.68, 0.0007122376880437885, 0.0015534774923359825
0.74, 0.0006066565141596525, 0.001323115656908904
0.8, 0.0005050333907578906, 0.0011461338272544135
0.5, 0.0013092079203880494, 0.0027325563024114072
0.56, 0.0010218967840898059, 0.0021653043337746146
0.62, 0.0008530890098909615, 0.001794714490539367
0.68, 0.000688387872224957, 0.0014935736005985956
0.74, 0.0006164733399829588, 0.0013229322265412263
0.8, 0.0005090102786485297, 0.001027797684790937
