phi, Mean_Perm, Std_dev_Perm
0.05, 0.06063851992606744, 0.028411940481710113
0.05555555555555556, 0.09633882828327604, 0.04475318486829473
0.061111111111111116, 0.14692034887210217, 0.06954855692362862
0.06666666666666667, 0.2155129667537582, 0.10683732105247276
0.07222222222222223, 0.30529170542175144, 0.1405563488354079
0.07777777777777778, 0.42255598744376405, 0.19731100333225188
0.08333333333333334, 0.567159457040451, 0.2629222234325629
0.08888888888888889, 0.7630714340029278, 0.35079571694770173
0.09444444444444444, 0.9967566522198223, 0.45848599215860625
0.1, 1.2848965689064475, 0.6193497035695341
