Phi, Sw, K
0.35, 0.660014201929138, 175.34462667025073
0.35, 0.720908251402383, 203.28826082178557
0.35, 0.8147534635119983, 135.2091903504113
0.35, 0.6156720502613001, 175.29805947437612
0.35, 0.6583077124364768, 173.03818113670317
0.35, 0.6282956086461056, 195.30274133823602
0.35, 0.6666386294147038, 209.69497654481214
0.35, 0.6969875167253017, 141.7830927944189
0.35, 0.8033729475606072, 152.35380020549243
0.35, 0.7254004173836684, 126.56870847963822
0.35, 0.7829726576884359, 171.73771142760154
0.35, 0.7905040772365624, 172.8481968099196
0.35, 0.7065576861710925, 165.6322053846504
0.35, 0.7311163720125498, 150.271815122461
0.35, 0.6642208409333182, 156.346013425377
0.35, 0.6589053511767173, 185.720695104559
0.35, 0.6251201728683016, 235.42569640563315
0.35, 0.7758512498453036, 377.6123303453257
0.35, 0.7516572611972234, 183.01768372972097
0.35, 0.7092745412116839, 165.23471594145386
0.35, 0.5924811008200035, 163.52631464274154
0.35, 0.7873255235033048, 145.06760748551653
0.35, 0.662119225463869, 174.0437528363931
0.35, 0.7166423710598402, 117.47666167483412
0.35, 0.7181792554999221, 186.31074098515157
0.35, 0.7230811470720463, 192.70609567282312
0.35, 0.6029813424530256, 171.7986114818133
0.35, 0.6931546525000972, 316.9445164973493
0.35, 0.6873851284250133, 143.07158348351527
0.35, 0.6885046549519009, 154.3223643409803
0.35, 0.779097848031724, 166.3496978473333
0.35, 0.8049752910440154, 136.45144112213052
0.35, 0.7986882220622975, 210.81047574841915
0.35, 0.7236070364791177, 169.61734740173608
0.35, 0.6741152749804936, 239.32738881970627
0.35, 0.8075203011135494, 240.31043638753596
0.35, 0.6824304330678986, 164.82696462072656
0.35, 0.6807689013183187, 175.0436050265745
0.35, 0.7682805272061536, 130.03777173226297
0.35, 0.7104223725967175, 236.5034805215224
0.35, 0.6799709828421322, 144.38908986414674
0.35, 0.481875196713871, 176.4033460860795
0.35, 0.7278051932605071, 158.9291026640058
0.35, 0.7996612532760953, 142.93014213898655
0.35, 0.659677741858216, 148.9671676815731
0.35, 0.7198724812041273, 292.02016503162173
0.35, 0.8795663613950344, 274.47564557887307
0.35, 0.8030404088680653, 147.37175676916692
0.35, 0.6944145338038548, 171.80059512210468
0.35, 0.5266004626374183, 156.64042059318564
0.35, 0.5955989796404091, 173.4079063322187
0.35, 0.7069675832472969, 205.020599317279
0.35, 0.6870594955540146, 231.40386922457006
0.35, 0.7255483000543735, 175.94695004037598
0.35, 0.6544403391217039, 180.25119311432704
0.35, 0.7950664392067488, 225.1877658396004
0.35, 0.7274097120798778, 259.4998239322432
0.35, 0.6551908086518401, 241.07005805714863
0.35, 0.5812164492172289, 168.79585241177776
0.35, 0.6453606450365965, 142.60449030742376
0.35, 0.6256528249701075, 194.9157188490153
0.35, 0.5722318047695871, 154.0000569422821
0.35, 0.5732941377431594, 145.99154725583955
0.35, 0.7169631249367029, 176.68017342676822
0.35, 0.5367132271825958, 156.57004738937732
0.35, 0.6125489037669541, 183.99918535109896
0.35, 0.6693959726923815, 133.298249616467
0.35, 0.7842979733280963, 235.20649452635539
0.35, 0.6094970908691982, 212.4707781105784
0.35, 0.6796108471772123, 206.14744088178094
0.35, 0.7287007775703865, 213.70338974604894
0.35, 0.7249818412034685, 300.8164403613614
0.35, 0.7021099116931145, 129.09412808546583
0.35, 0.6169295499069624, 186.42653124436674
0.35, 0.6020662618354693, 191.2079986602641
0.35, 0.6911460082834262, 171.84072311709758
0.35, 0.7619602943987961, 146.91201941662825
0.35, 0.6969419738126436, 161.97750817759473
