#Mean_Perm Std_dev_Perm
2.876831146736112 1.6793630340164796
2.8851051866805126 1.6864458960009663
2.8832330658648018 1.7050710723791445
2.865973988867265 1.670031972974593
2.8583278994876715 1.6529314814737608
2.8723308148062303 1.670079709259314
2.886552220018993 1.7180689592840865
2.8729130419916054 1.6586817716916251
2.8657287037994554 1.6682258883012369
2.8744977465227675 1.6769869262837498
2.8982656850467015 1.6968032344306723
2.9046053813143917 1.6774987677792925
2.8647684530796305 1.6845982464449254
2.8886189362490304 1.7075188579356446
2.895933332237802 1.7259643226730486
2.8973314437799234 1.6740633099482058
2.8887635788239963 1.6941803584570145
2.8703427290560155 1.6713389897015383
2.885581108734847 1.7160600638375552
2.8956071343490892 1.6860272845981268
2.904700151264921 1.7054539219945284
2.8826535317973683 1.7080793781759815
2.8935552446614725 1.6770291960694221
2.8748230814268814 1.6926789491005623
2.880644742323785 1.686831535349689
